name,marker-color,marker-size,marker-symbol,id,featuretype,notes,geology,lon,lat
Kingston Russell stone circle,,,,1,Stone circle,,Sarsen,-2.59915,50.6885
Kingston Russell stone circle,,,,2,Stone circle,,Sarsen,-2.59914,50.68846
Kingston Russell stone circle,,,,3,Stone circle,,Sarsen,-2.59909,50.68845
Kingston Russell stone circle,,,,4,Stone circle,,Sarsen,-2.59904,50.68841
Kingston Russell stone circle,,,,5,Stone circle,,Sarsen,-2.599,50.68841
Kingston Russell stone circle,,,,6,Stone circle,,Sarsen,-2.59893,50.68842
Kingston Russell stone circle,,,,7,Stone circle,,Sarsen,-2.59888,50.68843
Kingston Russell stone circle,,,,8,Stone circle,,Sarsen,-2.59883,50.68844
Kingston Russell stone circle,,,,9,Stone circle,,Sarsen,-2.59878,50.68848
Kingston Russell stone circle,,,,10,Stone circle,,Sarsen,-2.5988,50.68849
Kingston Russell stone circle,,,,11,Stone circle,,Sarsen,-2.59876,50.68851
Kingston Russell stone circle,,,,12,Stone circle,,Sarsen,-2.5988,50.68854
Kingston Russell stone circle,,,,13,Stone circle,,Sarsen,-2.5988,50.68858
Kingston Russell stone circle,,,,14,Stone circle,,Sarsen,-2.59881,50.68862
Kingston Russell stone circle,,,,15,Stone circle,,Sarsen,-2.59889,50.68865
Kingston Russell stone circle,,,,16,Stone circle,,Sarsen,-2.599,50.68865
Kingston Russell stone circle,,,,17,Stone circle,,Sarsen,-2.59911,50.6886
Tenants Hill,,,,18,Stone,,Sarsen,-2.59872,50.68805
Tenants Hill,,,,19,Stone,,Sarsen,-2.59867,50.68802
Tenants Hill,,,,20,Stone,,Sarsen,-2.59834,50.68792
Punknowle,,,,21,Stone,,Unknown,-2.65358,50.69673
The Grey Mare and Her Colts,,,,22,Cromlech,Chambered Long Barrow,Sarsen,-2.59022,50.68175
The Grey Mare and Her Colts,,,,23,Cromlech,Chambered Long Barrow,Sarsen,-2.59024,50.68171
The Grey Mare and Her Colts,,,,24,Cromlech,Chambered Long Barrow,Sarsen,-2.59028,50.68172
The Grey Mare and Her Colts,,,,25,Cromlech,Chambered Long Barrow,Sarsen,-2.59027,50.68168
The Grey Mare and Her Colts,,,,26,Cromlech,Chambered Long Barrow,Sarsen,-2.59031,50.68171
Gorwell Entrance,,,,27,Stone,,Sarsen,-2.58398,50.67886
Portesham,,,,28,Stone,Sarsen 1,Sarsen,-2.5646263,50.6698304
Portesham,,,,29,Stone,Sarsen 2,Sarsen,-2.564656,50.669876
Portesham,,,,30,Stone,Sarsen 3,Sarsen,-2.56467,50.66989
Portesham,,,,31,Stone,Sarsen 4,Sarsen,-2.564375,50.66997
Portesham,,,,32,Stone,Sarsen 5,Sarsen,-2.564381,50.669967
Portesham,,,,33,Stone,Sarsen 6,Sarsen,-2.564155,50.670103
Portesham,,,,34,Stone,Sarsen 7,Sarsen,-2.564141,50.670101
Portesham,,,,35,Stone,"3 Sarsen Stones 8, 9, 10",Sarsen,-2.564086,50.670152
Portesham,,,,36,Stone,Sarsen 11,Sarsen,-2.5640219,50.6702882
Portesham,,,,37,Stone,Sarsen 12 School Yard,Sarsen,-2.5639197,50.6702679
Portesham,,,,38,Stone,Sarsen 13 Massive,Sarsen,-2.5638517,50.6702908
Portesham,,,,39,Stone,Sarsen 14,Sarsen,-2.56363,50.670445
Portesham,,,,40,Stone,"3 Sarsens 15, 16, 17",Sarsen,-2.563558,50.67066
Portesham,,,,41,Stone,Sarsen 18 Massive,Sarsen,-2.563439,50.670942
Portesham,,,,42,Stone,"3 Sarsens 19, 20, 21",Sarsen,-2.563497,50.670855
Portesham,,,,43,Stone,Sarsen as bridge 22,Sarsen,-2.563511,50.670826
Portesham,,,,44,Stone,Small bridge 23,Sarsen,-2.563549,50.670681
Portesham,,,,45,Stone,Sarsen 24 grave stone of J Galpin 1681,Sarsen,-2.563666,50.670583
Portesham,,,,46,Stone,Sarsen 25,Sarsen,-2.563438,50.671007
Portesham,,,,47,Stone,2 Sarsens 26 27,Sarsen,-2.563353,50.671171
Portesham,,,,48,Stone,5 Sarsens 28 29 30 31 32,Sarsen,-2.563231,50.67144
Portesham,,,,49,Stone,Corner sarsen 33,Sarsen,-2.563286,50.671997
Portesham,,,,50,Stone,Sarsen 34,Sarsen,-2.563224,50.672437
Portesham,,,,51,Stone,"2 Sarsens 35, 36",Sarsen,-2.562604,50.67275
Portesham,,,,52,Stone,Sarsen 37,Sarsen,-2.562372,50.672881
Portesham,,,,53,Stone,Sarsen 38,Sarsen,-2.562177,50.672981
Portesham,,,,54,Stone,Sarsen 39,Sarsen,-2.562931,50.672574
Portesham,,,,55,Stone,Sarsen 40,Sarsen,-2.562984,50.672541
Portesham,,,,56,Stone,Sarsen 41,Sarsen,-2.563046,50.672222
Portesham,,,,57,Stone,Sarsen 42,Sarsen,-2.563002,50.671994
Portesham,,,,58,Stone,Sarsen 43,Sarsen,-2.563093,50.671406
Portesham,,,,59,Stone,Sarsen 44,Sarsen,-2.563119,50.671284
Portesham,,,,60,Stone,Sarsen 45,Sarsen,-2.5631397,50.6710965
Portesham,,,,61,Stone,Sarsen 46,Sarsen,-2.5631663,50.6710612
Portesham,,,,62,Stone,Sarsen 47,Sarsen,-2.563238,50.6710758
Portesham,,,,63,Stone,Sarsen 48,Sarsen,-2.5632487,50.6710676
Portesham Hill,,,,64,Stone,,Sarsen,-2.56059,50.67623
Portesham Hill,,,,65,Stone,,Sarsen,-2.56,50.67619
Portesham Hill,,,,66,Stone,,Sarsen,-2.55991,50.67622
Portesham Hill,,,,67,Stone,,Sarsen,-2.56003,50.67638
Portesham Hill,,,,68,Stone,,Sarsen,-2.56017,50.67646
Portesham Hill,,,,69,Stone,,Sarsen,-2.56024,50.67658
Portesham Hill,,,,70,Stone,,Sarsen,-2.55945,50.67672
Portesham Hill,,,,71,Stone,,Sarsen,-2.55902,50.67678
Portesham Hill,,,,72,Stone,,Sarsen,-2.55989,50.67697
Portesham Hill,,,,73,Stone,,Sarsen,-2.55982,50.67698
Portesham Hill,,,,74,Stone,,Sarsen,-2.55911,50.67698
Portesham Hill,,,,75,Stone,,Sarsen,-2.55921,50.67704
Portesham Hill,,,,76,Stone,,Sarsen,-2.5593,50.67721
Portesham Hill,,,,77,Stone,,Sarsen,-2.55952,50.67721
Portesham Hill,,,,78,Stone,,Sarsen,-2.55953,50.67718
Portesham Hill,,,,79,Stone,,Sarsen,-2.56073,50.67709
Portesham Hill,,,,80,Stone,,Sarsen,-2.55998,50.67747
Portesham Hill,,,,81,Stone,,Sarsen,-2.55984,50.67755
Portesham Hill,,,,82,Stone,,Sarsen,-2.55977,50.67771
Portesham Hill,,,,83,Stone,,Sarsen,-2.55951,50.67778
Portesham Hill,,,,84,Stone,,Sarsen,-2.55952,50.67786
Portesham Hill,,,,85,Stone,,Sarsen,-2.55943,50.67789
Portesham Hill,,,,86,Stone,,Sarsen,-2.5596,50.67791
Portesham Hill,,,,87,Stone,,Sarsen,-2.55968,50.67787
Portesham Hill,,,,88,Stone,,Sarsen,-2.5595,50.678
Portesham Hill,,,,89,Stone,,Sarsen,-2.55956,50.67802
Portesham Hill,,,,90,Stone,,Sarsen,-2.55961,50.67803
Portesham Hill,,,,91,Stone,,Sarsen,-2.55922,50.67836
Portesham Hill,,,,92,Stone,,Sarsen,-2.55874,50.67829
Portesham Hill,,,,93,Stone,,Sarsen,-2.55864,50.67825
Portesham Hill,,,,94,Stone,,Sarsen,-2.55856,50.67823
Portesham Hill,,,,95,Stone,,Sarsen,-2.55859,50.67684
Portesham Hill,,,,96,Stone,,Sarsen,-2.55837,50.6771
Portesham Hill,,,,97,Stone,,Sarsen,-2.55823,50.67759
Portesham Hill,,,,98,Stone,,Sarsen,-2.55834,50.6776
Portesham Hill,,,,99,Stone,,Sarsen,-2.55848,50.67758
Portesham Hill,,,,100,Stone,,Sarsen,-2.55852,50.67759
Portesham Hill,,,,101,Stone,,Sarsen,-2.55857,50.6776
Portesham Hill,,,,102,Stone,,Sarsen,-2.55871,50.67767
Portesham Hill,,,,103,Stone,,Sarsen,-2.55883,50.67767
Portesham Hill,,,,104,Stone,,Sarsen,-2.55881,50.67771
Portesham Hill,,,,105,Stone,,Sarsen,-2.55894,50.67772
Portesham Hill,,,,106,Stone,,Sarsen,-2.5607,50.67789
Portesham Hill,,,,107,Stone,,Sarsen,-2.5586,50.67789
Portesham Hill,,,,108,Stone,,Sarsen,-2.55806,50.67787
Standing Stones (site of),,,,109,Standing Stones,,Sarsen,-2.55759,50.68134
Black Down Barn,,,,110,Stone,,Sarsen,-2.55521,50.68064
Black Down,,,,111,Stone,,Sarsen,-2.55524,50.68053
Portesham Hill,,,,112,Stone,,Sarsen,-2.55667,50.67938
Hell Stone,,,,113,Cromlech,Chambered Long Barrow,Sarsen,-2.55918,50.67861
Black Down,,,,114,Stone,,Sarsen,-2.54899,50.68661
Black Down,,,,115,Stone,,Sarsen,-2.54926,50.68661
Black Down,,,,116,Stone,,Sarsen,-2.54952,50.68662
Black Down,,,,117,Stone,,Sarsen,-2.54957,50.68681
Black Down,,,,118,Stone,,Sarsen,-2.54893,50.68684
Black Down,,,,119,Stone,,Sarsen,-2.54966,50.68713
Black Down,,,,120,Stone,,Sarsen,-2.54883,50.68717
Valley of Stones,,,,121,Stone,,Sarsen,-2.57637,50.68245
Valley of Stones,,,,122,Stone,,Sarsen,-2.57648,50.68303
Valley of Stones,,,,123,Stone,,Sarsen,-2.57653,50.68312
Valley of Stones,,,,124,Stone,,Sarsen,-2.57661,50.68314
Valley of Stones,,,,125,Stone,,Sarsen,-2.57614,50.68343
Valley of Stones,,,,126,Valley of Stones,,Sarsen,-2.57585,50.68409
Valley of Stones,,,,127,Stone,,Sarsen,-2.57606,50.68394
Valley of Stones,,,,128,Stone,,Sarsen,-2.57621,50.68382
Valley of Stones,,,,129,Stone,,Sarsen,-2.57635,50.68373
Little Mayne,,,,130,Stone,,Sarsen,-2.39268,50.68213
